Course Code,Course Title,Units
GE Core 1,,3
GE Core 2,,3
GE Elective 1,,3
CMS 21,Foundations of Media Writing,3
CMS 31,Effective Oral Skills for Media Communication,3
CMS 100,History of Media Communication,3
NSTP 1,,2
PE 1,Foundations of Physical Fitness,2
GE Core 3,,3
GE Core 4,,3
GE Elective 2,,3
CMS 101,Introduction to Media Communication,3
NSTP 2,,2
PE 2/3,Elective PE Activity,2
CMS Elective,,3
CMS Elective,,3
GE Core 5,,3
GE Core 6,,3
GE Core 7,,3
CMS 102,Communication and Media Theories,3
CMS 105,Technologies in Media Communication,3
PE 2/3,Elective PE Activity,2
CMS Elective,,3
GE Elective 3,,3
GE Elective 4,,3
GE Elective 5,,3
CMS 103,Media-Related Laws and Codes,3
CMS 104,Media and the Community,3
CMS 107,Fundamentals of Communication Planning,3
CMS 110,Development Media,3
CMS 190,Digital Media Composition for Production,3
CMS 194,Media Appreciation and Criticism,3
CMS 197,Communication Research Methods,3
CMS 195,Media Internship,3
Free Elective,,3
CMS Elective,,3
CMS 192,Media Writing for Specific Purposes,3
CMS 198,Contemporary Issues in Media Communication,3
CMS 199.1,Research or Creative Work in Communication and Media Studies I,3
Free Elective,,3
CMS Elective,,3
CMS 199.2,Research or Creative Work in Communication and Media Studies II,3
COMM 11,Professional Communication,3
PI 100,The Life and Works of Jose Rizal,3
