Course Code,Course Title,Units
GE Core 1,,3
GE Elective 1,,3
Language Course 1,,3
GE Elective 2,,3
ECON 11,Introductory Economics,3
HIST 109,Introduction to the Study of History,3
PE 1,Foundations of Physical Fitness,2
NSTP 1,,3
Language Course 2,,3
GE Core 2,,3
GE Elective 4,,3
GE Elective 3,,3
HIST 120,Introduction to World Civilization,3
GE Core 3,,3
PE 2,Philippine Folk Dance,2
NSTP 2,,3
GE Elective 5,,3
GE Core 4,,3
HIST 113,Maritime History of the Philippines,3
Qualified Elective 1,,3
HIST 114,Cultural History of the Philippines,3
Language Course 3,,3
PE 2/3,Elective PE Activity,2
GE Core 5,,3
HIST 116,Philippine Nationalism,3
STAT 102,Statistical Tools for Research,3
Language Course 4,,3
Qualified Elective 2,,3
PE 2/3,Elective PE Activity,2
Qualified Elective 3,,3
Qualified Elective 4,,3
COMM 12,Technical Communication,3
HIST 119,Philippine Historiography,3
History Elective 1,,3
VS 101,Visayan History, Society and Culture,3
GE Core 6,,3
HIST 122,Modern Europe,3
Qualified Elective 5,,3
Qualified Elective 6,,3
HIST 129,World Historiography,3
History Elective 2,,3
HIST 195,Practicum in History,3
GE Core 7,,3
Qualified Elective 7,,3
History Elective 3,,3
Qualified Elective 8,,3
PI 100,The Life and Works of Jose Rizal,3
HIST 199.1,Historical Research I,3
HIST 154,History of Southeast Asia,3
History Elective 4,,3
Qualified Elective 9,,3
Qualified Elective 10,,3
HIST 199.2,Historical Research II,3
