Course Code,Course Title,Units
GE Core 1,,3
GE Core 2,,3
GE Elective 1,,3
CS 101,Introduction to Cultural Studies,3
LIT 100,Introduction to Literature,3
NSTP 1,,3
PE 1,Foundations of Physical Fitness,2
GE Core 3,,3
GE Elective 2,,3
CW 101,Introduction to Creative Writing,3
LIT 103,Literary Theory and Criticism,3
LIT 130,Philippine Literature of the Waters,3
NSTP 2,,3
PE 2/3,Elective PE Activity,2
GE Core 4,,3
GE Elective 3,,3
LIT 104,Philippine Literary Criticism,3
LIT 105,Literature and New Media,3
LIT 110,Philippine Literature 1,3
LIT 120,Literature of Asia,3
PE 2/3,Elective PE Activity,2
Language Elective,,3
GE Core 5,,3
GE Elective 4,,3
CW 111,Creative Writing (Poetry),3
LIT 101,Introduction to Literary Research,3
LIT 111,Philippine Literature 2,3
PE 2/3,Elective PE Activity,2
Language Elective,,3
GE Core 6,,3
GE Elective 5,,3
CS 102,Issues in Literary and Cultural Studies,3
CW 112,Creative Writing (Short Story),3
LIT 112,Philippine Literature 3,3
GE Core 7,,3
COMM 11,Professional Communication,3
LIT 102,Introduction to Literary Translation,3
LIT 121,Literatures of the Americas,3
LIT 199,Research Methods,3
LIT 195,Literature Internship,3
Free Elective,,3
Major Elective,,3
LIT 122,Literatures of Africa and Oceania,3
LIT 123,Literatures of Europe,3
LIT 200,Thesis,3
Free Elective,,3
Major Elective,,3
Major Elective,,3
Major Elective,,3
PI 100,The Life and Works of Jose Rizal,3
LIT 190,Approaches to Teaching Literature,3
