Course Code,Course Title,Units
POLSCI 101,Fundamentals in Political Science,3
GE Core 1,,3
GE Core 2,,3
ECON 11,Introductory Economics,3
GE Core 3,,3
Language Course 1,,3
PE 1,Foundations of Physical Fitness,2
NSTP 1,,3
POLSCI 102,Philippine Politics and Governance,3
COMM 12,Technical Communication,3
GE Core 4,,3
GE Core 5,,3
GE Core 6,,3
Language Course 2,,3
PE 2/3,Elective PE Activity,2
NSTP 2,,3
POLSCI 150,Philippine Public Policy and Administration,3
POLSCI 160,Political Culture, Behavior, Movement and Dynamics,3
Qualified Elective 1,,3
GE Core 7,,3
GE Elective 1,,3
GE Elective 2,,3
PE 2/3,Elective PE Activity,2
POLSCI 140,Introduction to Comparative Politics,3
POLSCI Elective 1,,3
STAT 102,Statistical Methods in Research,3
POLSCI Elective 2,,3
GE Elective 3,,3
Qualified Elective 2,,3
PE 2/3,Elective PE Activity,2
POLSCI 180,International Relations,3
POLSCI Elective 3,,3
POLSCI Elective 4,,3
GE Elective 4,,3
Qualified Elective 3,,3
Qualified Elective 4,,3
POLSCI 190,Introduction to Political Theory,3
POLSCI 110,Research Methods in Political Science,3
Qualified Elective 5,,3
POLSCI Elective 5,,3
POLSCI Elective 6,,3
GE Elective 5,,3
POLSCI 195,Practicum in Political Science,3
POLSCI 199.1,Research in Political Science I,3
Free Elective,,3
POLSCI Elective 7,,3
POLSCI Elective 8,,3
POLSCI Elective 9,,3
Qualified Elective 6,,3
POLSCI 199.2,Research in Political Science II,3
PI 100,The Life and Works of Jose Rizal,3
POLSCI Elective 10,,3
POLSCI Elective 11,,3
Qualified Elective 7,,3
