Course Code,Course Title,Units
GE Core 1,,3
GE Core 2,,3
GE Core 3,,3
ECON 11,Introductory Economics,3
SOCIO 101,General Sociology,3
PE 1,Foundations of Physical Fitness,2
NSTP 1,,3
GE Core 4,,3
GE Core 5,,3
SOCIO 11,Introductory Sociology,3
GE Elective 1,,3
GE Elective 2,,3
PE 2/3,Elective PE Activity,2
NSTP 2,,3
GE Core 6,,3
GE Elective 3,,3
STAT 102,Statistical Methods in Research,3
SOCIO 126,Urban Sociology,3
SOCIO Elective 1,,3
Qualified Elective 1,,3
PE 2/3,Elective PE Activity,2
GE Core 7,,3
COMM 12,Technical Communication,3
SOCIO 102,Social Organization,3
SOCIO 160,Society and Population,3
SOCIO Elective 2,,3
Qualified Elective 2,,3
PE 2/3,Elective PE Activity,2
GE Elective 4,,3
SOCIO 181,Quantitative Methods in Social Research,3
SOCIO 182,Qualitative Methods in Social Research,3
SOCIO 193,Sociological Theories I,3
Qualified Elective 3,,3
Qualified Elective 4,,3
GE Elective 5,,3
SOCIO 183,Survey Methods of Social Research,3
SOCIO 194,Sociological Theories II,3
SOCIO Elective 3,,3
SOCIO Elective 4,,3
Qualified Elective 5,,3
SOCIO 199.1,Sociological Research I,3
SOCIO 197,Special Topics in Sociology,3
PI 100,The Life and Works of Rizal,3
Qualified Elective 6,,3
Qualified Elective 7,,3
SOCIO 199.2,Sociological Research II,3
SOCIO Elective 5,,3
Qualified Elective 8,,3
Qualified Elective 9,,3
Qualified Elective 10,,3
