Course Code,Course Title,Units
GE Core 1,,3
GE Core 2,,3
ECON 11,Introductory Economics,3
MATH 18,Precalculus Mathematics,5
MATH 153,Computer Programming I,3
NSTP 1,,3
PE 1,Foundations of Physical Fitness,2
GE Core 3,,3
MATH 53,Calculus I,4
PHYS 71,Elementary Physics I,4
PHYS 71.1,Elementary Physics I Laboratory,1
NSTP 2,,3
PE 2/3,Elective PE Activity,2
GE Core 4,,3
MATH 54,Calculus II,4
MATH 110,Abstract Algebra,3
MATH 114,Linear Algebra,3
MATH 135,Combinatorial Mathematics,3
PE 2/3,Elective PE Activity,2
GE Core 5,,3
MATH 121,Elementary Differential Equations,3
MATH 162,Theory of Interest,3
MATH 173,Numerical Methods I,3
PE 2/3,Elective PE Activity,2
GE Core 6,,3
GE Elective 2,,3
MATH Elective,,3
MATH 174,Numerical Methods II,3
MATH 183,Linear and Integer Programming,3
STAT 110,Non-Bayesian Probability,4
MATH Elective,,3
GE Core 7,,3
COMM 12,Technical Communication,3
MATH 175,Mathematical Modeling,3
STAT 111,Statistical Methods and Inference,4
MATH 195,Practicum,3
GE Elective 3,,3
GE Elective 4,,3
Qualified Elective,,3
MATH 123,Advanced Calculus,3
MATH 198.1,Special Problem I,1
GE Elective 5,,3
Qualified Elective,,3
MATH 128,Complex Analysis I,3
MATH 198.2,Special Problem II,2
PI 100,The Life and Works of Jose Rizal,3
