Course Code,Course Title,Units
GE Core 1,,3
GE Core 2,,3
PHYS 21,Introductory Physics,4
PHYS 21.1,Introductory Physics Laboratory,1
CHEM 23,Inorganic Analytical Chemistry,3
CHEM 23.1,Inorganic Analytical Chemistry Laboratory,2
BIO 14,Integrative Biology,5
PE 1,Foundations of Physical Fitness,2
NSTP,,3
GE Core 3,,3
GE Core 4,,3
MATH 53,Calculus I,4
CHEM 31,Elementary Organic Chemistry,3
CHEM 31.1,Elementary Organic Chemistry Laboratory,2
BIO 11,Fundamentals of Biology I,5
PE 2/3,Elective PE Activity,2
NSTP,,3
GE Core 5,,3
GE Core 6,,3
GE Core 7,,3
COMM 12,Technical Communication,3
CHEM 40,General Biochemistry,3
CHEM 40.1,General Biochemistry Laboratory,2
BIO 12,Fundamentals of Biology II,5
BIO 180,Statistical Methods in Biology,3
PE 2/3,Elective PE Activity,2
BIO 100,Biotechnique,3
BIO 120,General Microbiology,3
BIO 120.1,General Microbiology Laboratory,2
BIO 140,Elementary Genetics,3
BIO 150,Introduction to Molecular and Cell Biology,3
BIO 160,Ecology,3
BIO 160.1,Ecology Laboratory,2
BIO 199.1,Research in Biology I,3
BIO 199.2,Research in Biology II,3
PI 100,The Life and Works of Jose Rizal,3
