Course Code,Course Title,Units
GE Core 1,,3
GE Core 2,,3
MATH 17,Algebra and Trigonometry,5
CHEM 11,General and Inorganic Chemistry,5
PHYS 21,Introductory Physics,4
PHYS 21.1,Introductory Physics Laboratory,1
PE 1,Foundations of Physical Fitness,2
NSTP 1,,3
GE Core 3,,3
GE Core 4,,3
MATH 53,Calculus I,4
CHEM 23,Inorganic Analytical Chemistry,3
CHEM 23.1,Inorganic Analytical Chemistry Laboratory,2
PHYS 71,Elementary Physics I,4
PHYS 71.1,Elementary Physics I Laboratory,1
PE 2/3,Elective PE Activity,2
NSTP 2,,3
GE Core 5,,3
GE Core 6,,3
MATH 54,Calculus II,4
CHEM 31,Elementary Organic Chemistry,3
CHEM 31.1,Elementary Organic Chemistry Laboratory,2
PHYS 72,Elementary Physics II,4
PHYS 72.1,Elementary Physics II Laboratory,1
PE 2/3,Elective PE Activity,2
GE Core 7,,3
COMM 12,Technical Communication,3
MATH 55,Calculus III,4
CHEM 33,Organic Chemistry I,3
CHEM 33.1,Organic Chemistry I Laboratory,2
PHYS 73,Elementary Physics III,4
PHYS 73.1,Elementary Physics III Laboratory,1
CHEM 28,Analytical Chemistry I,3
CHEM 28.1,Analytical Chemistry I Laboratory,2
CHEM 34,Organic Chemistry II,3
CHEM 34.1,Organic Chemistry II Laboratory,2
CHEM 156,Physical Chemistry I,3
CHEM 156.1,Physical Chemistry I Laboratory,2
CHEM 157,Physical Chemistry II,3
CHEM 157.1,Physical Chemistry II Laboratory,2
CHEM 145,Biochemistry I,3
CHEM 145.1,Biochemistry I Laboratory,2
CHEM 112,Inorganic Chemistry I,3
CHEM 126,Analytical Chemistry II,3
CHEM 126.1,Analytical Chemistry II Laboratory,2
CHEM 158,Physical Chemistry III,3
CHEM 146,Biochemistry II,3
CHEM 113,Inorganic Chemistry II,3
CHEM 127,Analytical Chemistry III,3
CHEM 127.1,Analytical Chemistry III Laboratory,1
CHEM 195,Practicum,3
CHEM 196,Seminar,1
CHEM 200.1,Undergraduate Thesis I,2
CHEM 200.2,Undergraduate Thesis II,2
PI 100,The Life and Works of Jose Rizal,3
