Course Code,Course Title,Units
GE Core 1,,3
GE Core 2,,3
MATH 17,Algebra and Trigonometry,5
CMSC 11,Introduction to Computer Science,3
PHYS 21,Introductory Physics,4
PHYS 21.1,Introductory Physics Laboratory,1
PE 1,Foundations of Physical Fitness,2
NSTP 1,,3
GE Core 3,,3
GE Core 4,,3
MATH 53,Calculus I,4
CMSC 21,Fundamentals of Programming,3
CMSC 56,Discrete Mathematical Structures in CS 1,3
PHYS 71,Elementary Physics I,4
PHYS 71.1,Elementary Physics I Laboratory,1
PE 2/3,Elective PE Activity,2
NSTP 2,,3
GE Core 5,,3
GE Core 6,,3
MATH 54,Calculus II,4
CMSC 22,Fundamentals of Object-oriented Programming,3
CMSC 57,Discrete Mathematical Structures in CS 2,3
CMSC 123,Data Structures,3
PHYS 72,Elementary Physics II,4
PHYS 72.1,Elementary Physics II Laboratory,1
PE 2/3,Elective PE Activity,2
GE Core 7,,3
COMM 12,Technical Communication,3
MATH 55,Calculus III,4
CMSC 124,Design and Implementation of Programming Languages,3
CMSC 125,Operating Systems,3
CMSC 130,Logic Design and Digital Computer Circuits,4
CMSC 131,Introduction to Computer Organization and Machine Level Programming,3
PHYS 73,Elementary Physics III,4
PHYS 73.1,Elementary Physics III Laboratory,1
CMSC 126,Web Programming,3
CMSC 127,Database Systems,3
CMSC 128,Software Engineering 1,3
CMSC 132,Computer Architecture,3
CMSC 141,Automata and Language Theory,3
CMSC 142,Design and Analysis of Algorithms,3
CMSC 129,Software Engineering 2,3
CMSC 134,Human-Computer Interaction,3
CMSC 137,Data Communications and Networking,3
CMSC 138,Computer Security,3
CMSC 198.1,Special Problem I,2
CMSC 198.2,Special Problem II,2
PI 100,The Life and Works of Jose Rizal,3
