Course Code,Course Title,Units
GE Core 1,,3
GE Core 2,,3
GE Core 3,,3
MATH 17,Algebra and Trigonometry,5
ECON 11,Introductory Economics,3
PE 1,Foundations of Physical Fitness,2
NSTP 1,,3
GE Core 4,,3
GE Core 5,,3
MATH 53,Calculus I,4
STAT 102,Statistical Methods in Research,3
ECON 101,Macroeconomics,3
ECON 102,Microeconomics,3
PE 2/3,Elective PE Activity,2
NSTP 2,,3
GE Core 6,,3
GE Core 7,,3
MATH 54,Calculus II,4
ECON 106,Elements of Mathematical Economics,3
ECON 131,Econometrics,3
ECON Elective 1,,3
PE 2/3,Elective PE Activity,2
COMM 12,Technical Communication,3
ECON 191,Development Economics,3
ECON Elective 2,,3
ECON Elective 3,,3
ECON Elective 4,,3
ECON Elective 5,,3
ECON 199,Research Methods in Economics,3
ECON Elective 6,,3
ECON Elective 7,,3
ECON Elective 8,,3
ECON Elective 9,,3
ECON 199.1,Economic Research I,3
ECON 199.2,Economic Research II,3
PI 100,The Life and Works of Jose Rizal,3
