Course Code,Course Title,Units
GE Core 1,,3
GE Core 2,,3
MATH 17,Algebra and Trigonometry,5
BIO 14,Integrative Biology,5
PE 1,Foundations of Physical Fitness,2
NSTP 1,,3
GE Core 3,,3
GE Core 4,,3
MATH 53,Calculus I,4
CHEM 23,Inorganic Analytical Chemistry,3
CHEM 23.1,Inorganic Analytical Chemistry Laboratory,2
BIO 11,Fundamentals of Biology I,5
PE 2/3,Elective PE Activity,2
NSTP 2,,3
GE Core 5,,3
GE Core 6,,3
STAT 102,Statistical Methods in Research,3
CHEM 31,Elementary Organic Chemistry,3
CHEM 31.1,Elementary Organic Chemistry Laboratory,2
BIO 12,Fundamentals of Biology II,5
PE 2/3,Elective PE Activity,2
GE Core 7,,3
COMM 12,Technical Communication,3
PH 101,Health Challenges in Island Contexts,3
PH 120,Human Anatomy and Physiology,5
PH 141,Biostatistics for Public Health,4
PH 151,Principles of Microbiology,4
PH 161,Human Biochemistry,4
PH 162,Nutrition,3
PH 180,Epidemiology,4
PH 187,Public Health Education and Promotion,3
PH 188,Public Health Policy and Administration,3
PH 195,Public Health Practice,5
PH 199,Special Studies and Research,3
PI 100,The Life and Works of Jose Rizal,3
